Price,Location,Property Type,Area,Posted Date
"₹93.6 Lac₹2,889 per sqft",N/A,Plot Area360 sqyrdTransactionNew Property,N/A,N/A
"₹1.71 Cr₹7,599 per sqft",N/A,Super Area2260 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom3,N/A,N/A
"₹5.27 Cr₹7,999 per sqft",N/A,Super Area6595 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹60.4 Lac₹2,111 per sqft",N/A,Plot Area318 sqyrdTransactionNew Property,N/A,N/A
₹33 Lac₹916 per sqft,N/A,Plot Area400 sqyrdTransactionNew Property,N/A,N/A
"₹92.7 Lac₹6,999 per sqft",N/A,Super Area1325 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹71.8 Lac₹6,244 per sqft",N/A,Super Area1150 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹63 Lac₹5,478 per sqft",N/A,Super Area1150 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2,N/A,N/A
"₹1.14 Cr₹5,393 per sqft",N/A,Super Area2114 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹91 Lac₹2,889 per sqft",N/A,Plot Area350 sqyrdTransactionNew Property,N/A,N/A
"₹3.59 Cr₹11,999 per sqft",N/A,Super Area3000 sqftUnder ConstructionPoss. by Jan '27TransactionNew PropertyBathroom4Balcony2,N/A,N/A
"₹1.02 Cr₹5,667 per sqft",N/A,Super Area1800 sqftTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹1.09 Cr₹5,999 per sqft",N/A,Super Area1827 sqftUnder ConstructionPoss. by Sep '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹1.28 Cr₹9,700 per sqft",N/A,Super Area1320 sqftUnder ConstructionPoss. by Jul '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2,N/A,N/A
"₹3.99 Cr₹7,699 per sqft",N/A,Super Area5190 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹1.19 Cr₹3,333 per sqft",N/A,Plot Area400 sqyrdTransactionNew Property,N/A,N/A
"₹1.60 Cr₹5,900 per sqft",N/A,Super Area2724 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹1.37 Cr₹2,667 per sqft",N/A,Plot Area573 sqyrdTransactionNew Property,N/A,N/A
"₹44.2 Lac₹2,444 per sqft",N/A,Plot Area201 sqyrdTransactionNew Property,N/A,N/A
"₹19 Lac₹1,278 per sqft",N/A,Plot Area165 sqyrdTransactionNew Property,N/A,N/A
"₹1.31 Cr₹5,990 per sqft",N/A,Super Area2187 sqftUnder ConstructionPoss. by Feb '30TransactionNew PropertyFurnishingUnfurnishedBathroom3,N/A,N/A
"₹44 Lac₹2,444 per sqft",N/A,Plot Area200 sqyrdTransactionNew Property,N/A,N/A
